,ID,Label,Network,x,y,z,colors
0,1,sctx-lh-latventricle,subcortex,-12.74475138,-14.54143646,14.47292818,
1,2,sctx-lh-thalamus,subcortex,-11.40195342,-19.43050338,6.434259955,
2,3,sctx-lh-caudate,subcortex,-13.42724458,6.126934985,10.6749226,
3,4,sctx-lh-putamen,subcortex,-25.59356137,0.293762575,-0.289738431,
4,5,sctx-lh-pallidum,subcortex,-19.65079365,-4.546031746,-1.066666667,
5,6,sctx-lh-hippocampus,subcortex,-25.18963165,-22.89222374,-14.03547067,
6,7,sctx-lh-amygdala,subcortex,-23.18222222,-4.933333333,-19.56444444,
7,8,sctx-lh-accumbens,subcortex,-8.788990826,11.65137615,-6.458715596,
8,9,sctx-rh-latventricle,subcortex,12.84251969,-12.30708661,14.73490814,
9,10,sctx-rh-thalamus,subcortex,12.05813953,-17.45784884,6.57994186,
10,11,sctx-rh-caudate,subcortex,13.52073733,9.434715822,9.557603687,
11,12,sctx-rh-putamen,subcortex,26.333001,2.616151545,-1.447657029,
12,13,sctx-rh-pallidum,subcortex,20.73482428,-3.706070288,-1.041533546,
13,14,sctx-rh-hippocampus,subcortex,26.75103164,-21.41403026,-14.18156809,
14,15,sctx-rh-amygdala,subcortex,24.20155039,-3.751937984,-19.70542636,
15,16,sctx-rh-accumbens,subcortex,9.629032258,11.90322581,-7.419354839,
16,17,ctx-lh-bankssts,cortex,-55.08823529,-41.07352941,8.926470588,
17,18,ctx-lh-caudalanteriorcingulate,cortex,-5.592592593,17.71604938,27.80246914,
18,19,ctx-lh-caudalmiddlefrontal,cortex,-36,11.96728972,48.04906542,
19,20,ctx-lh-cuneus,cortex,-6.551928783,-81.42433234,18.0652819,
20,21,ctx-lh-entorhinal,cortex,-22.73015873,-4.971428571,-34.34285714,
21,22,ctx-lh-fusiform,cortex,-35.10946944,-42.04163868,-22.02552048,
22,23,ctx-lh-inferiorparietal,cortex,-41.36120183,-68.9614631,35.32593076,
23,24,ctx-lh-inferiortemporal,cortex,-51.5092091,-35.23510293,-21.8624052,
24,25,ctx-lh-isthmuscingulate,cortex,-7.024096386,-46.12650602,18.53614458,
25,26,ctx-lh-lateraloccipital,cortex,-31.16919487,-87.92765461,-0.164527421,
26,27,ctx-lh-lateralorbitofrontal,cortex,-23.80384968,30.6416132,-17.83684693,
27,28,ctx-lh-lingual,cortex,-11.77728285,-70.6013363,-5.371937639,
28,29,ctx-lh-medialorbitofrontal,cortex,-6.449039882,33.6070901,-16.25110783,
29,30,ctx-lh-middletemporal,cortex,-58.90581162,-23.62725451,-12.91382766,
30,31,ctx-lh-parahippocampal,cortex,-21.43333333,-33.68888889,-14.74444444,
31,32,ctx-lh-paracentral,cortex,-5.951965066,-28.37991266,58.53275109,
32,33,ctx-lh-parsopercularis,cortex,-48.07017544,18.05741627,13.90430622,
33,34,ctx-lh-parsorbitalis,cortex,-42.18374558,37.89399293,-13.7385159,
34,35,ctx-lh-parstriangularis,cortex,-46.93711968,35.39959432,1.432048682,
35,36,ctx-lh-pericalcarine,cortex,-9.888544892,-81.81424149,4.972136223,
36,37,ctx-lh-postcentral,cortex,-43.21047708,-25.11693171,49.30776427,
